Date,Open,High,Low,Close,Adj Close,Volume
2016-10-18,3.464290,3.535710,3.428570,3.500000,3.460484,311697
2016-10-19,3.500000,3.642860,3.492860,3.571430,3.531107,1711489
2016-10-20,3.571430,3.678570,3.557140,3.642860,3.601731,757863
2016-10-21,3.628570,3.742860,3.607140,3.728570,3.686473,665868
2016-10-24,3.728570,3.800000,3.714290,3.800000,3.757097,267025
2016-10-25,3.807140,3.807140,3.714290,3.771430,3.728849,137780
2016-10-26,3.714290,3.714290,3.671430,3.678570,3.637038,119806
2016-10-27,3.678570,3.685710,3.564290,3.571430,3.531107,169386
2016-10-28,3.571430,3.714290,3.428570,3.585710,3.545226,134669
2016-10-31,3.500000,3.500000,3.435710,3.500000,3.460484,111306
2016-11-01,3.535710,3.535710,3.321430,3.357140,3.319237,162702
2016-11-02,3.321430,3.357140,3.107140,3.321430,3.283930,255891
2016-11-03,3.392860,3.428570,3.321430,3.392860,3.354553,175624
2016-11-04,3.392860,3.392860,3.357140,3.392860,3.354553,39882
2016-11-07,3.428570,3.428570,3.392860,3.421430,3.382801,40793
2016-11-08,3.392860,3.400000,3.357140,3.400000,3.361613,51566
2016-11-09,3.285710,3.342860,3.135710,3.342860,3.305118,137612
2016-11-10,3.357140,3.392860,3.207140,3.207140,3.170930,175553
2016-11-11,3.178570,3.178570,2.985710,3.121430,3.086188,290865
2016-11-14,3.071430,3.071430,2.857140,3.021430,2.987317,206496
2016-11-15,3.142860,3.250000,3.142860,3.235710,3.199178,78142
2016-11-16,3.178570,3.357140,3.135710,3.285710,3.248613,56021
2016-11-17,3.314290,3.414290,3.300000,3.321430,3.283930,54103
2016-11-18,3.264290,3.428570,3.264290,3.428570,3.389860,118184
2016-11-21,3.428570,3.500000,3.414290,3.464290,3.425177,172171
2016-11-22,3.500000,3.571430,3.464290,3.514290,3.474613,170670
2016-11-23,3.514290,3.557140,3.514290,3.528570,3.488731,140391
2016-11-24,3.500000,3.550000,3.464290,3.550000,3.509919,74535
2016-11-25,3.535710,3.535710,3.500000,3.535710,3.495791,42795
